dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.000061,0.002460,0.049200,0.983998,0.000000
0.050000,0.000000,0.000000,0.000307,0.007380,0.098400,0.983998,0.000000
0.050000,0.000000,0.000000,0.000861,0.014760,0.147600,0.983998,0.000000
0.050000,0.000000,0.000000,0.001845,0.024600,0.196800,0.983998,0.000000
0.050000,0.000000,0.000000,0.003382,0.036900,0.246000,0.983998,0.000000
0.050000,0.000000,0.000000,0.005596,0.051660,0.295200,0.983998,0.000000
0.050000,0.000000,0.000000,0.008610,0.068880,0.344399,0.983998,0.000000
0.050000,0.002546,0.000000,0.012546,0.088560,0.393599,0.983998,0.000000
0.050000,0.007527,0.000000,0.017527,0.110700,0.442799,0.983998,0.000000
0.050000,0.013677,0.000000,0.023677,0.135300,0.491999,0.983998,0.000000
0.050000,0.021119,0.000000,0.031119,0.162360,0.541199,0.983998,0.000000
0.050000,0.029975,0.000000,0.039975,0.191880,0.590399,0.983998,0.000000
0.050000,0.040368,0.000000,0.050368,0.223860,0.639599,0.983998,0.000000
0.050000,0.052422,0.000000,0.062422,0.258300,0.688799,0.983998,0.000000
0.050000,0.066260,0.000000,0.076260,0.295200,0.737999,0.983998,0.000000
0.050000,0.082004,0.000000,0.092004,0.334559,0.787199,0.983998,0.000000
0.050000,0.099777,0.000000,0.109777,0.376379,0.836399,0.983998,0.000000
0.050000,0.119703,0.000000,0.129703,0.420659,0.885599,0.983998,0.000000
0.050000,0.141905,0.000000,0.151905,0.467399,0.934799,0.983998,0.000000
0.050000,0.166505,0.000000,0.176505,0.516599,0.983998,0.983998,0.000000
0.050000,0.193626,0.000000,0.203626,0.568259,1.033198,0.983998,0.000000
0.050000,0.223392,0.000000,0.233392,0.622379,1.082398,0.983998,0.000000
0.050000,0.255864,0.000000,0.265864,0.676499,1.082398,0.000000,0.000000
0.050000,0.291042,0.000000,0.301042,0.730619,1.082398,0.000000,0.000000
0.050000,0.328926,0.000000,0.338926,0.784739,1.082398,0.000000,0.000000
0.050000,0.369516,0.000000,0.379516,0.838859,1.082398,0.000000,0.000000
0.050000,0.412812,0.000000,0.422812,0.892979,1.082398,0.000000,0.000000
0.050000,0.458814,0.000000,0.468814,0.947098,1.082398,-0.000000,0.000000
0.050000,0.507522,0.000000,0.517522,1.001218,1.082398,0.000000,0.000000
0.050000,0.558936,0.000000,0.568936,1.055338,1.082398,-0.000000,0.000000
0.050000,0.613056,0.000000,0.623056,1.109458,1.082398,0.000000,0.000000
0.050000,0.669881,0.000000,0.679881,1.163578,1.082398,0.000000,0.000000
0.050000,0.729413,0.000000,0.739413,1.217698,1.082398,-0.000000,0.000000
0.050000,0.791651,0.000000,0.801651,1.271818,1.082398,0.000000,0.000000
0.050000,0.856595,0.000000,0.866595,1.325938,1.082398,0.000000,0.000000
0.050000,0.924245,0.000000,0.934245,1.380058,1.082398,-0.000000,0.000000
0.050000,0.994601,0.000000,1.004601,1.434178,1.082398,0.000000,0.000000
0.050000,1.067663,0.000000,1.077663,1.488298,1.082398,-0.000000,0.000000
0.050000,1.143431,0.000000,1.153431,1.542418,1.082398,0.000000,0.000000
0.050000,1.221905,0.000000,1.231905,1.596537,1.082398,0.000000,0.000000
0.050000,1.303084,0.000000,1.313084,1.650657,1.082398,-0.000000,0.000000
0.050000,1.386970,0.000000,1.396970,1.704777,1.082398,0.000000,0.000000
0.050000,1.473562,0.000000,1.483562,1.758897,1.082398,-0.000000,0.000000
0.050000,1.562860,0.000000,1.572860,1.813017,1.082398,0.000000,0.000000
0.050000,1.654864,0.000000,1.664864,1.867137,1.082398,0.000000,0.000000
0.050000,1.749574,0.000000,1.759574,1.921257,1.082398,-0.000000,0.000000
0.050000,1.846990,0.000000,1.856990,1.975377,1.082398,0.000000,0.000000
0.050000,1.947111,0.000000,1.957111,2.029497,1.082398,-0.000000,0.000000
0.050000,2.049939,0.000000,2.059939,2.083617,1.082398,0.000000,0.000000
