dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,-1.080000,0.000061,0.002460,0.049200,0.983998,0.000000
0.050000,0.000000,-1.080000,0.000061,0.000000,-0.049200,-1.967997,0.000000
0.050000,0.000000,-1.080000,0.000061,0.000000,0.000000,0.983998,0.000000
0.050000,0.000000,-1.080000,0.000061,0.000000,0.000000,0.000000,0.000000
0.050000,0.000000,-1.080000,0.000061,0.000000,0.000000,0.000000,0.000000
0.050000,0.000000,-1.080000,0.000061,0.000000,0.000000,0.000000,0.000000
0.050000,0.000000,-1.080000,0.000061,0.000000,0.000000,0.000000,0.000000
0.050000,0.002546,-1.080000,0.002607,0.050920,1.018392,20.367840,0.000000
0.050000,0.007527,-1.080000,0.007589,0.099630,0.974205,-0.883744,0.000000
0.050000,0.013677,-1.080000,0.013739,0.123000,0.467399,-10.136111,0.000000
0.050000,0.021119,-1.080000,0.021180,0.148830,0.516599,0.983998,0.000000
0.050000,0.029975,-1.080000,0.030036,0.177120,0.565799,0.983998,0.000000
0.050000,0.040368,-1.080000,0.040430,0.207870,0.614999,0.983998,0.000000
0.050000,0.052422,-1.080000,0.052484,0.241080,0.664199,0.983998,0.000000
0.050000,0.066260,-1.080000,0.066321,0.276750,0.713399,0.983998,0.000000
0.050000,0.082004,-1.080000,0.082065,0.314879,0.762599,0.983998,0.000000
0.050000,0.099777,-1.080000,0.099839,0.355469,0.811799,0.983998,0.000000
0.050000,0.119703,-1.080000,0.119765,0.398519,0.860999,0.983998,0.000000
0.050000,0.141905,-1.080000,0.141966,0.444029,0.910199,0.983998,0.000000
0.050000,0.166505,-1.080000,0.166566,0.491999,0.959398,0.983998,0.000000
0.050000,0.193626,-1.080000,0.193688,0.542429,1.008598,0.983998,0.000000
0.050000,0.223392,-1.080000,0.223454,0.595319,1.057798,0.983998,0.000000
0.050000,0.255864,-1.080000,0.255926,0.649439,1.082398,0.491999,0.000000
0.050000,0.291042,-1.080000,0.291104,0.703559,1.082398,0.000000,0.000000
0.050000,0.328926,-1.080000,0.328987,0.757679,1.082398,-0.000000,0.000000
0.050000,0.369516,-1.080000,0.369577,0.811799,1.082398,-0.000000,0.000000
